lon,lat,press,temp
-131,46,200.484375,0.605377197265625
-124.400001525879,41.9000015258789,384.8515625,-0.0223388671875
-124.5,46.0999984741211,156.8984375,-0.266448974609375
-124.699996948242,47.2999992370605,248.4296875,-1.30670166015625
-124.5,44.5999984741211,253.2265625,0.14398193359375
-124.985000610352,49.9070014953613,159.203125,-0.279541015625
-125,49.9000015258789,159.5234375,-0.360565185546875
-127.921997070312,49.7319984436035,147.2421875,-0.11590576171875
-127.900001525879,49.7000007629395,151.78125,-0.05181884765625
-123.699996948242,49.2999992370605,176.1640625,-0.264007568359375
-128.800003051758,51.4000015258789,54.515625,-0.9263916015625
-126,48.8330001831055,261.8984375,-1.73202514648438
-126,48.7999992370605,263.4765625,-1.7396240234375
-129.910003662109,50.8600006103516,46.7265625,-0.73724365234375
-129.899993896484,50.9000015258789,43.453125,-0.7606201171875
-124.379997253418,43.3400001525879,278.734375,0.242095947265625
-123.5,48.2999992370605,207.8046875,-0.7015380859375
-122.949996948242,50.1333312988281,179.625,-4.70013427734375
-123.300003051758,49.4833297729492,299.4765625,-2.84262084960938
-121.5,51.1500015258789,-2.1015625,1.98922729492188
-126.550003051758,49.3833312988281,264.9296875,-0.679168701171875
-123.800003051758,49.2166709899902,241.171875,0.703369140625
-123.050003051758,48.7833290100098,218.125,-1.67288208007812
-128.899993896484,50.8166694641113,166.0546875,0.634521484375
-124.16667175293,49.3499984741211,240.4453125,-2.01202392578125
-122.733329772949,50.2999992370605,171.375,-2.74661254882812
-124.433326721191,49.4833297729492,232.984375,-0.28515625
-114.900001525879,49.75,-123.46875,-2.26663208007812
-116.5,49.0833282470703,-285.5,2.99017333984375
-119.300003051758,50.2299995422363,-43.1484375,0.591461181640625
-123.58332824707,48.5833282470703,409.3125,-0.6583251953125
-121.58332824707,50.2333297729492,156.265625,-2.77227783203125
-122.683326721191,49.2000007629395,156.34375,-1.5379638671875
-117.816673278809,50.2666702270508,-163.75,1.5926513671875
-123.430000305176,48.4300003051758,227.8359375,-1.21099853515625
-120.516670227051,50.5999984741211,-173.7890625,0.6375732421875
-124.83332824707,49.25,199.7890625,-2.2989501953125
-127.933326721191,50.1166687011719,122.1953125,-0.6513671875
-119.283332824707,50.7000007629395,-92.0703125,-2.13345336914062
-123.91667175293,48.3833312988281,163.8984375,-3.01309204101562
-114.883331298828,49.75,-121.6171875,-2.33050537109375
-119.650001525879,49.5666694641113,-184.8984375,-1.97451782226562
-123.466667175293,48.5333290100098,295.4453125,-2.22024536132812
-122.783332824707,49.0166702270508,115.5546875,-1.27078247070312
-115.066673278809,51.0833282470703,462.4375,-8.25271606445312
-123.300003051758,48.4500007629395,363.0546875,-0.874786376953125
-116.33332824707,51.4500007629395,-319.6796875,3.03353881835938
-119.433326721191,49.0333290100098,-281.875,-2.9979248046875
-121.766670227051,49.25,252.234375,-3.39920043945312
-115.550003051758,51.2000007629395,126.9140625,-3.83938598632812
-125.98999786377,50.4500007629395,240.3984375,-3.3724365234375
-124.669998168945,51.6699981689453,103.0546875,-3.03326416015625
-125.766670227051,49.0833282470703,359.0546875,-2.10574340820312
-125.266670227051,49.9500007629395,184.375,-0.644744873046875
-123.866668701172,49.0499992370605,188.203125,-1.71463012695312
-117.633331298828,49.2999992370605,-207.9453125,-0.742828369140625
